iter	Passed	Remaining
646	335373	182977
647	335881	182454
648	336388	181929
649	336891	181403
650	337375	180866
651	337882	180342
652	338450	179850
653	339004	179351
654	339532	178837
655	340066	178327
656	340581	177807
657	341084	177280
658	341604	176763
659	342129	176248
660	342646	175729
661	343175	175216
662	343684	174693
663	344189	174167
664	344739	173665
665	345264	173150
666	345775	172628
667	346298	172112
668	346809	171590
669	347346	171080
670	347839	170550
671	348368	170036
672	348891	169520
673	349411	169003
674	349935	168487
675	350450	167967
676	350962	167445
677	351474	166924
678	351994	166406
679	352535	165898
680	353078	165392
681	353589	164870
682	354102	164349
683	354641	163840
684	355166	163324
685	355735	162829
686	356263	162315
687	356812	161810
688	357320	161286
689	357883	160788
690	358412	160274
691	358882	159733
692	359368	159200
693	359843	158662
694	360340	158134
695	360851	157613
696	361329	157077
697	361873	156569
698	362410	156059
699	362914	155534
700	363475	155034
701	363979	154509
702	364513	153997
703	365038	153482
704	365628	152993
705	366109	152459
706	366642	151946
707	367179	151435
708	367702	150918
709	368234	150405
710	368733	149878
711	369267	149366
712	369732	148826
713	370292	148324
714	370839	147817
715	371347	147294
716	371856	146771
717	372347	146242
718	372805	145700
719	373291	145168
720	373841	144662
721	374356	144142
722	374873	143623
723	375385	143102
724	375881	142575
725	376454	142077
726	376970	141558
727	377474	141034
728	378001	140519
729	378525	140002
730	379035	139481
731	379537	138956
732	380036	138430
733	380535	137905
734	381039	137381
735	381598	136877
736	382145	136369
737	382669	135852
738	383187	135334
739	383715	134818
740	384242	134303
741	384736	133776
742	385255	133258
743	385742	132728
744	386242	132203
745	386761	131685
746	387219	131146
747	387704	130617
748	388204	130092
749	388793	129597
750	389252	129059
751	389783	128545
752	390282	128021
753	390857	127521
754	391360	126997
755	391887	126482
756	392452	125978
757	392971	125460
758	393460	124932
759	394027	124429
760	394534	123907
761	395054	123389
762	395586	122875
763	396103	122356
764	396546	121814
765	397109	121310
766	397603	120784
767	398175	120282
768	398683	119760
769	399192	119239
770	399704	118718
771	400146	118178
772	400626	117648
773	401085	117112
774	401588	116590
775	402092	116068
776	402603	115547
777	403136	115033
778	403658	114516
779	404176	113998
780	404688	113478
781	405216	112963
782	405721	112441
783	406242	111923
784	406762	111406
785	407281	110888
786	407808	110372
787	408348	109860
788	408873	109343
789	409401	108828
790	409920	108310
791	410424	107788
792	410950	107271
793	411444	106747
794	411961	106228
795	412464	105707
796	412990	105190
797	413497	104669
798	413957	104137
799	414530	103632
800	415046	103113
801	415563	102595
802	416057	102071
803	416576	101553
804	417081	101032
805	417638	100523
806	418166	100007
807	418656	99482
808	419142	98956
809	419659	98438
810	420184	97922
811	420650	97391
812	421184	96877
813	421690	96356
814	422162	95828
815	422673	95308
816	423171	94786
817	423658	94261
818	424170	93742
819	424685	93223
820	425171	92698
821	425680	92178
822	426200	91661
823	426750	91150
824	427274	90633
825	427822	90122
826	428333	89602
827	428849	89084
828	429404	88574
829	429903	88052
830	430419	87534
831	430892	87007
832	431445	86496
833	431951	85975
834	432480	85460
835	432983	84939
836	433503	84421
837	434015	83902
838	434563	83390
839	435005	82858
840	435519	82339
841	436083	81830
842	436589	81310
843	437106	80792
844	437632	80275
845	438203	79767
846	438719	79249
847	439237	78731
848	439735	78209
849	440278	77696
850	440758	77171
851	441289	76655
852	441838	76143
853	442345	75623
854	442868	75106
855	443376	74586
856	443913	74071
857	444405	73549
858	444923	73031
859	445441	72513
860	445964	71996
861	446444	71472
862	447001	70960
863	447512	70441
864	448056	69927
865	448572	69409
866	449082	68890
867	449600	68372
868	450126	67855
869	450653	67339
870	451202	66825
871	451739	66310
872	452272	65794
873	452803	65278
874	453306	64758
875	453851	64243
876	454361	63724
877	454916	63211
878	455390	62687
879	455921	62171
880	456453	61654
881	456993	61139
882	457486	60618
883	457997	60099
884	458544	59584
885	459093	59070
886	459664	58559
887	460223	58046
888	460703	57523
889	461286	57012
890	461794	56493
891	462322	55976
892	462856	55459
893	463399	54944
894	463915	54425
895	464452	53909
896	464954	53389
897	465461	52869
898	465994	52353
899	466585	51842
900	467091	51323
901	467588	50802
902	468106	50283
903	468630	49766
904	469152	49248
905	469660	48728
906	470166	48208
907	470686	47690
908	471197	47171
909	471702	46651
910	472228	46134
911	472764	45617
912	473293	45100
913	473782	44579
914	474347	44065
915	474864	43546
916	475380	43027
917	475903	42509
918	476452	41994
919	476990	41477
920	477503	40958
921	478016	40439
922	478530	39920
923	479030	39400
924	479554	38882
925	480072	38364
926	480600	37846
927	481136	37329
928	481676	36812
929	482237	36297
930	482721	35776
931	483224	35256
932	483757	34739
933	484267	34220
934	484776	33701
935	485274	33181
936	485789	32662
937	486316	32144
938	486831	31625
939	487326	31105
940	487846	30587
941	488353	30068
942	488850	29548
943	489403	29032
944	489946	28515
945	490525	28000
946	491059	27482
947	491636	26967
948	492284	26455
949	492850	25939
950	493372	25420
951	493927	24903
952	494467	24386
953	495037	23869
954	495608	23353
955	496110	22833
956	496627	22314
957	497175	21796
958	497697	21278
959	498202	20758
960	498749	20240
961	499266	19721
962	499815	19203
963	500324	18684
964	500818	18164
965	501355	17646
966	501876	17127
967	502394	16608
968	502878	16087
969	503420	15569
970	503940	15050
971	504445	14531
972	504925	14011
973	505424	13491
974	505978	12973
975	506499	12454
976	507032	11936
977	507542	11417
978	508030	10897
979	508515	10377
980	509055	9859
981	509584	9340
982	510127	8822
983	510642	8303
984	511168	7784
985	511664	7265
986	512195	6746
987	512726	6227
988	513259	5708
989	513792	5189
990	514318	4670
991	514838	4151
992	515148	3631
993	515458	3111
994	515773	2591
995	516084	2072
996	516373	1553
997	516643	1035
998	516914	517
999	517183	0
