iter	Passed	Remaining
609	4332	2770
610	4342	2764
611	4350	2758
612	4365	2755
613	4377	2751
614	4385	2745
615	4397	2741
616	4405	2734
617	4414	2728
618	4422	2722
619	4431	2715
620	4443	2712
621	4455	2707
622	4465	2702
623	4475	2697
624	4484	2690
625	4497	2687
626	4509	2682
627	4520	2677
628	4528	2670
629	4536	2664
630	4544	2657
631	4554	2651
632	4565	2647
633	4577	2642
634	4591	2639
635	4602	2634
636	4610	2627
637	4619	2620
638	4631	2616
639	4642	2611
640	4660	2610
641	4668	2603
642	4677	2596
643	4685	2590
644	4710	2592
645	4739	2597
646	4758	2596
647	4783	2598
648	4807	2600
649	4828	2600
650	4847	2598
651	4872	2600
652	4886	2596
653	4908	2596
654	4938	2601
655	4955	2598
656	4977	2598
657	4995	2596
658	5009	2591
659	5028	2590
660	5050	2590
661	5066	2586
662	5080	2582
663	5102	2582
664	5121	2580
665	5142	2578
666	5161	2576
667	5185	2577
668	5199	2572
669	5218	2570
670	5238	2568
671	5257	2566
672	5272	2561
673	5292	2559
674	5318	2560
675	5334	2556
676	5350	2552
677	5374	2552
678	5394	2550
679	5407	2544
680	5424	2541
681	5443	2537
682	5469	2538
683	5491	2537
684	5512	2534
685	5531	2531
686	5549	2528
687	5568	2525
688	5591	2523
689	5605	2518
690	5627	2516
691	5646	2513
692	5663	2508
693	5680	2504
694	5701	2502
695	5723	2500
696	5740	2495
697	5762	2493
698	5787	2492
699	5802	2486
700	5821	2483
701	5839	2478
702	5861	2476
703	5879	2471
704	5899	2468
705	5919	2465
706	5934	2459
707	5952	2454
708	5971	2450
709	5991	2447
710	6006	2441
711	6024	2437
712	6046	2433
713	6063	2428
714	6081	2423
715	6107	2422
716	6122	2416
717	6136	2410
718	6157	2406
719	6178	2402
720	6192	2396
721	6212	2392
722	6230	2387
723	6251	2383
724	6266	2377
725	6286	2372
726	6308	2368
727	6326	2363
728	6342	2357
729	6367	2354
730	6388	2350
731	6409	2346
732	6427	2341
733	6448	2336
734	6470	2332
735	6491	2328
736	6513	2324
737	6529	2318
738	6544	2311
739	6566	2307
740	6584	2301
741	6598	2294
742	6618	2289
743	6639	2284
744	6658	2279
745	6678	2273
746	6696	2268
747	6716	2262
748	6729	2255
749	6752	2250
750	6774	2246
751	6788	2238
752	6806	2232
753	6826	2227
754	6844	2221
755	6858	2213
756	6881	2208
757	6903	2203
758	6917	2196
759	6932	2189
760	6952	2183
761	6974	2178
762	6988	2170
763	7003	2163
764	7023	2157
765	7043	2151
766	7058	2144
767	7077	2137
768	7099	2132
769	7114	2125
770	7129	2117
771	7151	2112
772	7176	2107
773	7193	2100
774	7214	2094
775	7233	2088
776	7249	2080
777	7268	2074
778	7295	2069
779	7311	2062
780	7324	2053
781	7339	2045
782	7363	2040
783	7384	2034
784	7401	2027
785	7423	2021
786	7452	2016
787	7473	2010
788	7493	2004
789	7510	1996
790	7523	1987
791	7545	1981
792	7566	1975
793	7583	1967
794	7597	1959
795	7617	1952
796	7638	1945
797	7653	1937
798	7674	1930
799	7692	1923
800	7712	1916
801	7733	1909
802	7753	1902
803	7774	1895
804	7790	1887
805	7808	1879
806	7831	1872
807	7846	1864
808	7861	1856
809	7882	1849
810	7899	1840
811	7915	1832
812	7934	1825
813	7953	1817
814	7976	1810
815	7992	1802
816	8013	1794
817	8032	1787
818	8047	1778
819	8065	1770
820	8086	1763
821	8107	1755
822	8127	1747
823	8147	1740
824	8166	1732
825	8185	1724
826	8208	1717
827	8234	1710
828	8254	1702
829	8279	1695
830	8315	1691
831	8349	1685
832	8383	1680
833	8430	1678
834	8453	1670
835	8480	1663
836	8499	1655
837	8519	1646
838	8544	1639
839	8570	1632
840	8595	1625
841	8617	1617
842	8639	1608
843	8658	1600
844	8680	1592
845	8706	1584
846	8728	1576
847	8753	1568
848	8776	1560
849	8807	1554
850	8828	1545
851	8857	1538
852	8881	1530
853	8904	1522
854	8924	1513
855	8945	1504
